Year,Population
1970,18266034
1971,18364991
1972,18351888
1973,18194899
1974,18072890
1975,18032337
1976,17974781
1977,17851561
1978,17720503
1979,17633759
1980,17562270
1981,17567731
1982,17589737
1983,17686907
1984,17745676
1985,17791678
1986,17833421
1987,17868844
1988,17941309
1989,17983084
1990,18005781
1991,18122510
1992,18246653
1993,18374954
1994,18459470
1995,18524104
1996,18588460
1997,18656546
1998,18755906
1999,18882725
2000,18989403
2001,19082838
2002,19137800
2003,19175939
2004,19171567
2005,19132610
2006,19104631
2007,19132335
2008,19212436
2009,19307066
2010,19389011
2011,19499241
2012,19572932
2013,19624447
2014,19651049
2015,19654666
2016,19633428
2017,19589572
2018,19530351
2019,19453561